Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
ACS,2a,FALSE,EarlyLearn - Budget per slot in contract family child care,NA,"$9,329","$9,340","$9,347","$9,522",*,*,Neutral,NA
ACS,2a,FALSE,EarlyLearn - Fiscal Year Spending per Child based on Average Enrollment in Contract Centers,NA,"$14,568","$14,302","$15,598","$16,754",*,*,Neutral,NA
ACS,2a,FALSE,Fiscal year spending per child - Center-based child care vouchers,NA,"$8,478","$8,524","$8,936","$9,280",*,*,Neutral,NA
ACS,2a,FALSE,Fiscal year spending per child - Family child care vouchers,NA,"$7,385","$7,500","$7,575","$7,659",*,*,Neutral,NA
ACS,2a,FALSE,Fiscal year spending per child - Legally exempt (informal child care) vouchers,NA,"$4,169","$4,144","$4,119","$4,140",*,*,Neutral,NA
ACS,2a,FALSE,Abuse and/or neglect reports for children in child care,322,357,413,492,584,*,*,Neutral,Up
ACS,2a,FALSE,Abuse and/or neglect reports for children in child care that are substantiated (%),24.8%,23.5%,21.8%,27.6%,15.1%,*,*,Down,Down
ACS,3a,TRUE,Total admissions to detention,"4,416","3,419","3,126","2,755","2,528",*,*,Neutral,Down
ACS,3a,TRUE,"Average daily population (ADP), detention",326.5,266.0,234.1,169.9,156.6,*,*,Neutral,Down
ACS,3a,FALSE,Secure detention - ADP,188.4,150.1,130.2,94.7,91.7,*,*,Neutral,Down
ACS,3a,FALSE,Non-secure detention - ADP,138.1,115.9,103.5,74.4,64.9,*,*,Neutral,Down
ACS,3a,TRUE,"Average length of stay, detention (days)",27,29,29,23,21,*,*,Neutral,Down
ACS,3a,TRUE,"Weapon recovery rate (average per 100 total ADP), detention",0.10,0.02,0.04,0.08,0.07,*,*,Neutral,Neutral
ACS,3a,TRUE,"Illegal substance/prescription or OTC medication recovery rate (average per 100 total ADP), detention",0.08,0.04,0.07,0.09,0.07,*,*,Neutral,Up
ACS,3a,FALSE,"Child abuse/neglect allegations cases (internal) reported as substantiated, detention",5.0,17.0,22.0,27.0,17.0,*,*,Down,Up
ACS,3a,TRUE,"Average daily cost per youth per day, detention ($)",$634,$729,$773,"$1,065","$1,431",*,*,Neutral,Up
ACS,3a,FALSE,Admissions to Close to Home placement,NA,NA,348,258,238,*,*,Neutral,NA
ACS,3a,TRUE,Number in Close to Home placement,NA,NA,195,176,151,*,*,Neutral,NA
ACS,3a,FALSE,Discharges from Close to Home placement (dispositional order complete),NA,NA,222.0,260.0,227.0,*,*,Neutral,NA
ACS,3b,TRUE,"In-care youth who were referred for mental health services, detention (%)",43%,51%,48%,61%,62%,*,*,Neutral,Up
ACS,3b,TRUE,In-Care Youth who received mental health services (%),55%,58%,57%,50%,50%,*,*,Neutral,Down
ACS,3b,TRUE,"General health care cost per youth per day, detention ($)",$52,$60,$62,$80,$121,*,*,Neutral,Up
ACS,3c,TRUE,Youth admitted to detention with previous admission(s) to detention (%),59.5%,60.5%,60.9%,63.3%,56.1%,*,*,Neutral,Neutral
ACS,3c,FALSE,Number of releases from Close to Home placement to aftercare,NA,NA,274,283,201,*,*,Neutral,NA
ACS,3c,TRUE,Number in Close to Home aftercare (average),NA,NA,93,122,121,*,*,Neutral,NA
ACS,4a,FALSE,Collisions involving City vehicles,22,16,35,46,34,*,*,Down,Up
ACS,4a,FALSE,Workplace injuries reported,NA,191,217,184,226,*,*,Down,NA
ACS,5a,FALSE,Completed requests for interpretation,"65,025","66,577","63,351","79,347","87,775",*,*,Neutral,Up
ACS,5a,FALSE,Letters responded to in 14 days (%),73.6%,92.3%,87.4%,85.4%,97.1%,*,*,Up,Up
ACS,5a,FALSE,E-mails responded to in 14 days (%),92.9%,95.6%,92.6%,89.7%,97.8%,*,*,Up,Neutral
BIC,1a,TRUE,Violations issued to private waste haulers,"1,601","1,145",888,"1,166",892,*,*,Neutral,Down
BIC,1a,TRUE,Violations issued to legally operating private waste haulers,"1,330",897,733,827,709,*,*,Neutral,Down
BIC,1a,TRUE,Violations issued to illegally operating private waste haulers,271,248,155,339,183,*,*,Neutral,Down
BIC,1a,TRUE,Total waste hauling applications denied (%),3.6%,3.9%,3.9%,4.2%,4.4%,*,*,Neutral,Up
BIC,1a,FALSE,Waste hauling complaints received,594,534,519,513,449,*,*,Neutral,Down
BIC,1a,FALSE,Violations admitted to or upheld at the Office of Administrative Trials and Hearings (%),94.1%,92.3%,90.5%,91.5%,98.0%,*,*,Up,Neutral
BIC,1b,FALSE,Waste hauling applications approved - New and Renewal,850,"1,106",770,737,994,*,*,Up,Neutral
BIC,1b,FALSE,Waste hauling applications approved - New,194,209,128,166,187,*,*,Up,Down
BIC,1b,FALSE,Waste hauling applications approved - Renewal,656,897,642,571,807,*,*,Up,Neutral
BIC,2a,FALSE,Violations issued at public wholesale markets,323,134,79,45,97,*,*,Neutral,Down
BIC,2a,FALSE,Violations admitted to or upheld at the Environmental Control Board (%),93.8%,88.5%,94.0%,99.4%,98.3%,*,*,Up,Neutral
BIC,2a,TRUE,Public wholesale market applications denied (%),2.2%,3.0%,3.2%,2.5%,2.5%,*,*,Neutral,Neutral
BIC,2b,FALSE,Average age of pending public wholesale market applications (days),243,246,256,324,215,*,*,Down,Neutral
BIC,2b,FALSE,Public wholesale market applications approved,50,85,68,49,62,*,*,Up,Neutral
BIC,3a,FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
BIC,3a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
BIC,3a,FALSE,Completed customer requests for interpretation,218,109,56,26,93,*,*,Neutral,Down
BIC,3a,FALSE,Average wait time to speak with a customer service agent (minutes),2:51,3:02,2:07,3:42,3:02,*,*,Down,Up
BIC,3a,FALSE,CORE facility rating,98,95,93,93,100,*,*,Up,Neutral
BOE,1a,FALSE,Voter turnout - general election (000),NA,"2,467","1,102","1,042",236,*,*,Neutral,NA
BOE,1a,FALSE,Voter Registration forms processed,"131,071","345,834","254,404","145,809","166,961",*,*,Neutral,Down
BOE,1a,FALSE,Total registered voters (000),NA,"4,640","4,610","4,568","4,552",*,*,Up,NA
BOE,1a,FALSE,Total active voters (000),NA,"4,225","4,276","4,160","4,108",*,*,Up,NA
BOE,1a,FALSE,Eligible voters registered (%),NA,NA,NA,NA,NA,*,*,Up,NA
BOE,1a,FALSE,Poll worker attendance on Election Day (%),NA,95.6%,87.5%,84.8%,89.1%,*,*,Up,NA
BOE,1a,FALSE,Voter complaints regarding poll workers,NA,434,422,446,304,*,*,Down,NA
BOE,1a,FALSE,Voter complaints regarding poll workers - service,NA,146,253,213,243,*,*,Down,NA
BOE,1a,FALSE,Voter complaints regarding poll workers - procedure,NA,288,169,233,61,*,*,Down,NA
BOE,1a,FALSE,Voting equipment replacement rate - ballot scanners (%),NA,3.2%,0.4%,0.4%,0.3%,*,*,Down,NA
BOE,1a,FALSE,Voting equipment replacement rate - ballot marking devices (%),NA,5.6%,0.9%,2.3%,0.5%,*,*,Down,NA
BOE,1a,FALSE,Election results reporting timeliness (hours),NA,NA,NA,NA,NA,*,*,Down,NA
BOE,1a,FALSE,Precision of unofficial election results (%),NA,1.0%,1.8%,2.1%,1.8%,*,*,Neutral,NA
BOE,1a,FALSE,Interpreters deployed on election day,NA,"1,917","1,908","2,051","1,874",*,*,Neutral,NA
BOE,1a,FALSE,Interpreters deployed on election day - Bronx,NA,156,138,148,155,*,*,Neutral,NA
BOE,1a,FALSE,Interpreters deployed on election day - Brooklyn,NA,511,530,539,500,*,*,Neutral,NA
BOE,1a,FALSE,Interpreters deployed on election day - Queens,NA,836,832,924,830,*,*,Neutral,NA
BOE,1a,FALSE,Interpreters deployed on election day - Manhattan,NA,374,366,394,351,*,*,Neutral,NA
BOE,1a,FALSE,Interpreters deployed on election day - Staten Island,NA,40,42,46,38,*,*,Neutral,NA
BPL,1a,FALSE,Active library cards (000),684,681,761,696,630,*,*,Neutral,Neutral
BPL,1a,FALSE,New library card registrations,"137,670","167,467","205,089","192,156","126,082",*,*,Neutral,Neutral
CCHR,1a,FALSE,Cases successfully mediated,11,5,21,0,0,*,*,Up,Down
CCHR,1a,FALSE,Pre-complaint resolutions,190,163,189,165,200,*,*,Up,Neutral
CCHR,1a,TRUE,Cases filed,335,522,497,697,908,*,*,Neutral,Up
CCHR,1a,TRUE,Cases closed,440,480,602,608,336,*,*,Neutral,Neutral
CCHR,1a,FALSE,- Cases closed (%) - no probable cause determination,45%,43%,45%,43%,5%,*,*,Neutral,Down
CCHR,1a,TRUE,- Cases closed (%) - probable cause determination,5%,12%,8%,15%,6%,*,*,Neutral,Up
CCHR,1a,FALSE,- Cases closed (%) - administrative cause,24%,25%,21%,20%,62%,*,*,Neutral,Up
CCHR,1a,FALSE,Cases referred to the Office of Administrative Trials and Hearings,23,59,47,89,21,*,*,Neutral,Up
CCHR,1a,TRUE,Average value of cash settlement for complainant ($),"$15,173","$14,273","$15,250","$10,755","$34,775",*,*,Neutral,Up
CCHR,1a,FALSE,Modifications for accessibility for disabled,193,156,185,155,191,*,*,Neutral,Neutral
CCHR,3a,FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,98%,*,*,Up,Neutral
CCHR,3a,FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Up,Neutral
CCHR,3a,FALSE,Completed customer requests for interpretation,"1,425","1,515","1,097","1,126","1,671",*,*,Neutral,Neutral
CCHR,3a,FALSE,Average wait time to speak with a customer service agent (minutes),10,10,10,10,11,*,*,Down,Neutral
CCHR,3a,FALSE,CORE customer experience rating (0-100),85,94,97,98,100,*,*,Up,Up
CCRB,1a,FALSE,Total civilian complaints against uniformed members of the New York City Police Department,"5,724","5,455","5,573","4,165","4,711",*,*,Neutral,Down
CCRB,1a,FALSE,Average age of open docket (days),NA,147,135,106,62,*,*,Down,NA
CCRB,1a,FALSE,Cases closed,"5,637","5,506","5,810","5,347","4,970",*,*,Neutral,Down
CCRB,1a,TRUE,Officers disciplined (excluding pending and filed cases) (%),83%,62%,60%,87%,82%,*,*,Neutral,Up
CCRB,1b,FALSE,Cases with mutual agreement to mediate,315,244,446,394,444,*,*,Up,Up
CCRB,1b,FALSE,Officers who accepted mediation (%),NA,79%,83%,84%,87%,*,*,Up,NA
CCRB,1b,FALSE,Civilians who accepted mediation (%),NA,57%,51%,48%,45%,*,*,Up,NA
CCRB,1b,FALSE,Cases successfully mediated,112,61,179,183,222,*,*,Up,Up
CCRB,2a,FALSE,Completed requests for interpretation,843,525,613,591,695,*,*,Neutral,Down
CCRB,2a,FALSE,Letters responded to in 14 days (%),76%,70%,73%,84%,88%,*,*,Up,Up
CCRB,2a,FALSE,E-mails responded to in 14 days (%),93%,79%,94%,98%,100%,*,*,Up,Up
CCRB,2a,FALSE,CORE facility rating,69,81,100,98,100,*,*,Up,Up
CUNY,1a,FALSE,Instructional full-time equivalents (FTEs) taught by full-time faculty (%) - Senior Colleges,44.6%,42.3%,41.8%,43.9%,43.4%,*,*,Up,Neutral
CUNY,1a,FALSE,Instructional full-time equivalents (FTEs) taught by full-time faculty (%) - Community Colleges,49.5%,44.8%,50.8%,53.4%,53.6%,*,*,Up,Up
CUNY,1a,FALSE,Student/faculty ratio - Overall,17:1,17:1,17:0,17:0,17:0,*,*,Down,Neutral
CUNY,1a,FALSE,Number of full-time faculty employed by CUNY community colleges,"1,824","1,891","2,011","2,092","2,165",*,*,Up,Up
CUNY,1a,FALSE,Students earning Grade C or better in Freshman Composition Courses (%),84.8%,84.7%,84.9%,83.8%,84.1%,*,*,Up,Neutral
CUNY,1a,FALSE,Students earning Grade C or better in Math Gateway Courses (%),67.1%,67.2%,68.9%,68.6%,68.4%,*,*,Up,Neutral
CUNY,1a,FALSE,Students passing the National Council Licensure Examination for Registered Nurse (%),81.6%,86.9%,74.8%,76.4%,80.1%,*,*,Up,Neutral
CUNY,1a,FALSE,CUNY associate degree recipients who continue their education or are working (%),91.9%,92.4%,92.5%,95.3%,92.4%,*,*,Up,Neutral
CUNY,1a,FALSE,High school students participating in college preparation program (College Now),"28,530","28,415","30,025","30,606","31,105",*,*,Neutral,Up
CUNY,1a,FALSE,Total headcount enrollment,"272,178","269,114","269,897","275,132","274,357",*,*,Neutral,Neutral
CUNY,1a,FALSE,Total full-time equivalent enrollment (FTEs),"202,452","200,036","199,958","203,996","204,418",*,*,Neutral,Neutral
CUNY,1a,FALSE,Total headcount enrollment at CUNY community colleges,"97,712","96,500","97,751","99,958","99,045",*,*,Neutral,Neutral
CUNY,1a,FALSE,Enrollment of first-time freshmen in CUNY community colleges,"19,362","18,434","17,742","19,322","19,022",*,*,Neutral,Neutral
CUNY,1a,FALSE,Enrollment of first-time freshmen in CUNY community colleges who are recent graduates of NYC public high schools,"13,627","13,476","12,758","13,790","13,769",*,*,Neutral,Neutral
CUNY,1a,FALSE,Annual tuition at CUNY community colleges (full-time NYS resident),"$3,900","$4,200","$4,500","$4,800","$4,800",*,*,Neutral,Up
CUNY,1a,FALSE,Annual tuition at CUNY senior colleges (full-time NYS resident),"$5,430","$5,730","$6,030","$6,330","$6,330",*,*,Neutral,Up
CUNY,1a,FALSE,Expenditures per student (full-time equivalent) at CUNY community colleges,"$10,201","$11,193","$11,818","$12,058","$12,443",*,*,Neutral,Up
CUNY,1a,FALSE,Percentage of CUNY community college students receiving federal financial aid (Pell) (%),62.2%,55.7%,63.1%,64.0%,61.9%,*,*,Neutral,Neutral
DCA,1a,FALSE,Total docketed complaints,"4,610","3,907","3,853","3,702","3,650",*,*,Neutral,Down
DCA,1a,FALSE,Resolved consumer complaints,"4,622","3,800","3,873","3,495","3,691",*,*,Neutral,Down
DCA,1b,FALSE,Total inspections,"76,848","74,029","73,035","65,506","76,996",*,*,Up,Neutral
DCA,1b,FALSE,Total violations issued,"24,835","23,326","19,888","11,923","14,291",*,*,Neutral,Down
DCA,1c,FALSE,Total settlements ($000),"$8,707","$9,270","$9,395","$7,542","$8,324",*,*,Neutral,Down
DCA,2a,FALSE,License applications received online (%),23%,27%,19%,20%,18%,*,*,Up,Down
DCA,2b,FALSE,Businesses educated through direct outreach,NA,"11,217","34,865","22,659","17,072",*,*,Up,NA
DCA,3a,FALSE,Financial Empowerment Center clients  - Percent achieving measurable success (%),NA,NA,NA,34.0%,40.0%,*,*,Up,NA
DCA,3a,FALSE,- Total debt reduced ($000) (cumulative),"$7,049","$14,497","$23,893","$33,088","$43,125",*,*,Up,Up
DCA,3a,FALSE,- Total savings accumulated ($) (cumulative),"$870,297","$1,995,846","$2,987,936","$3,596,836","$4,094,324",*,*,Up,Up
DCA,3a,FALSE,Tax returns filed through citywide Tax Credit Campaign,NA,NA,"96,611","153,365","162,583",*,*,Up,NA
DCA,4a,FALSE,Paid Sick Leave (PSL) complaints received,NA,NA,NA,583,335,*,*,Neutral,NA
DCA,4a,FALSE,PSL complaints closed,NA,NA,NA,369,403,*,*,Neutral,NA
DCA,4a,FALSE,Employees receiving restitution,NA,NA,NA,97,"13,675",*,*,Neutral,NA
DCA,4a,FALSE,Total amount of employee restitution ($),NA,NA,NA,"$54,961","$2,123,391",*,*,Neutral,NA
DCA,4a,FALSE,Total amount of PSL fines ($),NA,NA,NA,"$50,050","$1,201,468",*,*,Neutral,NA
DCA,5a,FALSE,Completed customer requests for interpretation,"2,022","1,611","2,536","3,377","3,861",*,*,Neutral,Up
DCAS,1a,FALSE,Applications received for open competitive civil service exams,"112,906","75,825","74,700","184,849","79,878",*,*,Neutral,Up
DCAS,1a,FALSE,Employment applications received via NYC Jobs,"44,723","299,351","679,785","925,054","952,641",*,*,Up,Up
DCAS,1b,TRUE,New hires - White (%),26.2%,26.0%,23.2%,23.9%,23.0%,*,*,Neutral,Down
DCAS,1b,TRUE,New hires - Black (%),38.9%,38.5%,38.8%,40.8%,36.8%,*,*,Neutral,Neutral
DCAS,1b,TRUE,New hires - Hispanic (%),19.6%,19.2%,19.4%,19.8%,19.5%,*,*,Neutral,Neutral
DCAS,1b,TRUE,New hires - Asian/Pacific Islander (%),6.2%,6.2%,6.7%,7.0%,7.5%,*,*,Neutral,Up
DCAS,1b,TRUE,New hires - Native American (%),0.3%,0.4%,0.4%,0.4%,0.4%,*,*,Neutral,Up
DCAS,1b,FALSE,New hires - Unspecified (%),8.8%,9.7%,11.6%,7.9%,12.9%,*,*,Neutral,Up
DCAS,1b,TRUE,New hires - Male (%),50.9%,55.5%,57.1%,53.6%,59.3%,*,*,Neutral,Up
DCAS,1b,TRUE,New hires - Female (%),49.1%,44.5%,42.8%,46.4%,40.7%,*,*,Neutral,Down
DCAS,1c,TRUE,Median time from exam administration to exam results completion (days),NA,NA,251,209,343,*,*,Neutral,NA
DCAS,2c,FALSE,Lease-in agreements executed,32,32,56,53,66,*,*,Neutral,Up
DCAS,2c,FALSE,Square footage associated with executed lease-in agreements (000),"1,888",969,"1,957","1,712","3,011",*,*,Neutral,Up
DCAS,2c,FALSE,Vacant desks (%),15%,15%,13%,14%,14%,*,*,Down,Neutral
DCAS,3a,FALSE,Real estate auction bids received ($000),"$5,600",NA,"$17,500",NA,"$12,990",*,*,Neutral,NA
DCAS,4a,FALSE,Mayoral agency spending against DCAS master contracts (%),NA,NA,NA,41%,55%,*,*,Neutral,NA
DCAS,4b,FALSE,"Value of goods and services purchased ($000,000)",$886,"$1,118","$1,191","$1,169","$1,353",*,*,Neutral,Up
DCAS,4b,FALSE,- Value of Central Storehouse requisitions ($000),"$25,200","$24,300","$24,000","$23,370","$22,600",*,*,Neutral,Neutral
DCAS,5a,FALSE,Electricity purchased (kilowatt hours) (billions),4.2,4.2,4.3,4.3,4.2,*,*,Down,Neutral
DCAS,5a,FALSE,Total energy purchased (British Thermal Units) (trillions),26.2,27.5,28.9,29.5,28.4,*,*,Down,Neutral
DCAS,5a,FALSE,- Electricity (%),55.2%,52.1%,50.4%,49.3%,51.0%,*,*,Neutral,Neutral
DCAS,5a,FALSE,- Natural gas (%),37.5%,40.5%,41.5%,42.4%,42.0%,*,*,Neutral,Up
DCAS,5a,FALSE,- Steam (%),7.3%,7.4%,8.1%,8.3%,7.0%,*,*,Neutral,Neutral
DCAS,5b,TRUE,Annual estimated reduction in greenhouse gas emissions from all energy projects (metric tons),"6,156","5,690","7,893","40,984","14,459",*,*,Neutral,Up
DCAS,5b,TRUE,"Annual estimated avoided energy cost from all energy projects ($000,000)",$2.15,$2.12,$2.79,$12.46,$6.56,*,*,Neutral,Up
DCAS,5b,FALSE,Annual energy retrofit/conservation projects completed,48,29,37,109,158,*,*,Neutral,Up
DCAS,5b,FALSE,Cumulative energy retrofit/conservation projects completed,48,77,114,223,381,*,*,Up,Up
DCAS,5b,FALSE,Annual Energy Efficiency Reports (EER) completed,101,87,70,145,141,*,*,Neutral,Up
DCAS,5b,FALSE,Cumulative Energy Efficiency Reports (EER) completed,101,188,258,403,544,*,*,Up,Up
DCAS,7a,FALSE,Collisions involving City vehicles citywide,NA,NA,"5,886","5,726","6,344",*,*,Down,NA
DCAS,7a,FALSE,- Collisions involving City vehicles in the DCAS-managed fleet,NA,NA,402,449,400,*,*,Down,NA
DCAS,7a,FALSE,Workplace injuries reported,60,64,60,65,46,*,*,Down,Down
DCAS,7a,FALSE,Accidents involving the public in DCAS-managed properties,35,17,18,18,21,*,*,Down,Down
DCAS,7a,FALSE,Average cost of training per employee ($),$253,$225,$215,$163,$112,*,*,Neutral,Down
DCAS,7a,FALSE,Average cost of cleaning per square foot ($),$2.8,$2.8,$2.9,$2.9,$3.0,*,*,Neutral,Neutral
DCAS,8a,FALSE,Letters responded to in 14 days (%),47%,77%,54%,50%,66%,*,*,Up,Neutral
DCAS,8a,FALSE,E-mails responded to in 14 days (%),79%,89%,80%,74%,81%,*,*,Up,Neutral
DCAS,8a,FALSE,Average wait time to speak with a customer service agent (minutes),1:25,1:15,1:09,1:00,1:39,*,*,Down,Neutral
DCLA,1a,FALSE,"Total financial support provided to qualifying organizations ($000,000)",$140.3,$139.3,$144.3,$152.6,$152.7,*,*,Neutral,Up
DCLA,1b,FALSE,Capital projects authorized to proceed,69,69,45,41,48,*,*,Neutral,Down
DCLA,1c,FALSE,"Schools, non-profits and City/State agencies served by Materials for the Arts (MFTA)","1,901","1,884","2,025","2,105","2,117",*,*,Up,Up
DCLA,2a,FALSE,Total visitors to the Cultural Institutions Group (000),"20,188","20,264","20,957","21,609","23,236",*,*,Up,Up
DCLA,2a,FALSE,- Visitors using free admission and/or tickets (%),21%,22%,26%,26%,31%,*,*,Up,Up
DCP,1a,FALSE,Economic development and housing proposals completed and presented to the public,11,16,10,29,42,*,*,Up,Up
DCP,1a,FALSE,Neighborhood enhancement proposals completed and presented to the public,4,13,8,30,14,*,*,Up,Up
DCP,2a,FALSE,Planning information and policy analysis initiatives presented to the public,NA,NA,87,85,145,*,*,Up,NA
DCP,3a,FALSE,Zoning actions (simple) certified/referred,NA,NA,41,60,31,*,*,Neutral,NA
DCP,3a,FALSE,Zoning actions (complex) certified/referred,NA,NA,38,40,55,*,*,Neutral,NA
DCP,3a,FALSE,City projects (non-zoning) certified/referred,NA,NA,62,47,50,*,*,Neutral,NA
DCP,3a,FALSE,Renewals and natural area approvals certified/referred,NA,NA,133,117,94,*,*,Neutral,NA
DCP,4a,FALSE,Completed customer requests for interpretation,1,4,1,2,6,*,*,Neutral,Up
DDC,1a,FALSE,Projects completed within budget (%),92%,94%,89%,89%,82%,*,*,Up,Down
DDC,1c,FALSE,Eligible projects with completed post-construction surveys (%),67%,42%,47%,28%,56%,*,*,Up,Down
DDC,1c,FALSE,Post-construction satisfaction - Surveys returned,52,47,46,27,54,*,*,Up,Down
DEP,1a,FALSE,Samples testing positive for coliform bacteria (%),0.4%,0.3%,0.3%,0.3%,0.5%,*,*,Down,Up
DEP,1a,FALSE,Acres of land solicited in watershed area,"69,789","62,481","44,316","32,865","47,800",*,*,Neutral,Down
DEP,1b,FALSE,Water supply - Critical equipment out of service (%),1.6%,1.2%,1.4%,1.3%,1.0%,*,*,Down,Down
DEP,1b,FALSE,Overall enforcement activity,"1,777",983,"1,207","1,206","1,658",*,*,Neutral,Neutral
DEP,2a,FALSE,Sewer backup complaints received,"13,933","14,911","11,637","11,435","10,469",*,*,Neutral,Down
DEP,2a,FALSE,Sewer backup complaints resolved - Confirmed (on City infrastructure),"4,567","4,221","3,224","2,846","2,503",*,*,Down,Down
DEP,2a,FALSE,- Unconfirmed (not on City infrastructure or unfounded),"8,982","10,685","8,417","8,589","7,960",*,*,Neutral,Down
DEP,2a,FALSE,Street segments with confirmed sewer backup in the last 12 months (% of total segments),1.9%,1.7%,1.4%,1.2%,1.1%,*,*,Down,Down
DEP,2a,FALSE,Street cave-in complaints received,"3,467","2,926","3,737","4,073","4,175",*,*,Down,Up
DEP,2a,FALSE,Average time to respond to street cave-in complaints and make safe (days),3.2,2.5,2.5,2.5,4.6,*,*,Down,Up
DEP,2a,FALSE,Water main breaks,370,406,513,563,395,*,*,Down,Up
DEP,2a,FALSE,Water main breaks per 100 miles of main in the last 12 months,5.3,5.8,7.3,8.0,5.6,*,*,Down,Up
DEP,2a,FALSE,Catch basin complaints received,"12,357","10,548","8,576","8,851","8,026",*,*,Down,Down
DEP,2a,FALSE,Catch basins cleaned,"24,828","31,097","29,730","31,086","30,534",*,*,Neutral,Up
DEP,2a,FALSE,Leak complaints received,"3,751","4,077","3,718","2,640","2,620",*,*,Neutral,Down
